LAST SEEN   TYPE      REASON                         OBJECT                                         MESSAGE
37m         Normal    Pulling                        pod/web-1                                      Pulling image "nginx"
37m         Normal    Created                        pod/web-app-5c89984b6f-6xcl2                   Created container: nginx
37m         Normal    Pulling                        pod/deploy-6f66f85776-zqvtf                    Pulling image "nginx:1.25"
37m         Normal    Pulled                         pod/rolling-deployment-55b6d89599-pg7r7        Container image "nginx:1.26" already present on machine
37m         Normal    Pulled                         pod/recreate-deployment-866ccdc575-hrh45       Container image "nginx:1.26" already present on machine
37m         Normal    Created                        pod/recreate-deployment-866ccdc575-hrh45       Created container: recreate-container
37m         Normal    Created                        pod/rolling-deployment-55b6d89599-pg7r7        Created container: rolling-container
37m         Normal    Started                        pod/web-app-5c89984b6f-6xcl2                   Started container nginx
37m         Normal    Pulled                         pod/load-generator                             Successfully pulled image "busybox" in 5.085s (26.905s including waiting). Image size: 4277910 bytes.
37m         Normal    Started                        pod/rolling-deployment-55b6d89599-pg7r7        Started container rolling-container
37m         Normal    Started                        pod/recreate-deployment-866ccdc575-hrh45       Started container recreate-container
37m         Normal    Pulled                         pod/web-1                                      Successfully pulled image "nginx" in 5.461s (31.522s including waiting). Image size: 192226221 bytes.
37m         Normal    Pulled                         pod/web-app-5c89984b6f-bh6mh                   Container image "nginx:1.19" already present on machine
37m         Normal    Pulled                         pod/log-processor                              Container image "nginx:1.20" already present on machine
37m         Normal    Created                        pod/web-1                                      Created container: nginx
37m         Normal    Created                        pod/web-app-5c89984b6f-bh6mh                   Created container: nginx
37m         Normal    Created                        pod/log-processor                              Created container: nginx
37m         Normal    Pulled                         pod/deploy-6f66f85776-zqvtf                    Successfully pulled image "nginx:1.25" in 6.376s (26.653s including waiting). Image size: 187659947 bytes.
37m         Normal    Created                        pod/deploy-6f66f85776-zqvtf                    Created container: nginx
37m         Normal    Started                        pod/web-app-5c89984b6f-bh6mh                   Started container nginx
37m         Normal    Started                        pod/web-1                                      Started container nginx
37m         Normal    Started                        pod/log-processor                              Started container nginx
37m         Normal    Started                        pod/deploy-6f66f85776-zqvtf                    Started container nginx
37m         Normal    Pulling                        pod/log-processor                              Pulling image "busybox"
37m         Normal    Pulled                         pod/log-processor                              Successfully pulled image "busybox" in 3.685s (7.874s including waiting). Image size: 4277910 bytes.
37m         Normal    Created                        pod/log-processor                              Created container: busybox
36m         Normal    Started                        pod/log-processor                              Started container busybox
35m         Normal    Pulling                        pod/pod-h                                      Pulling image "busybox"
35m         Normal    Pulling                        pod/web-0                                      Pulling image "nginx"
35m         Normal    Pulling                        pod/react-frontend-dev-79b7b6cc87-jk8m6        Pulling image "nginx"
35m         Normal    Pulled                         pod/pod-h                                      Successfully pulled image "busybox" in 2.846s (2.846s including waiting). Image size: 4277910 bytes.
35m         Normal    Created                        pod/pod-h                                      Created container: dummy
35m         Normal    Started                        pod/pod-h                                      Started container dummy
35m         Normal    Created                        pod/react-frontend-dev-79b7b6cc87-jk8m6        Created container: react-app
